block,width,height,mode,core_mosaic_rmse,core_mssim,recovered_rmse,paper_protocol_bits,paper_mt_bits,paper_i_bits,paper_total_recovery_bits,residual_values,embedded_available,embedded_mosaic_rmse,embedded_mssim
8,768,1024,paper,9.857940101896116,0.7107638456184349,0.41104968416824955,1095066,1093730,1336,1095066,15678,True,15.679890807284114,0.5265628072482605
16,768,1024,paper,18.04985476101073,0.5067556993862437,0.3672913749348908,342873,341177,1696,342873,22069,True,23.10214508907946,0.3888513002190879
32,768,1024,paper,27.799420412762366,0.3415411309949091,0.32587350687109984,197219,195163,2056,197219,31071,True,32.04221650748533,0.2795244282527365
64,768,1024,paper,37.09876309115452,0.27136887775500784,0.3290956058334156,233387,230803,2584,233387,44424,True,40.48980920099059,0.23790862372515717
128,768,1024,paper,45.53902437177183,0.25746257679636614,0.36369404190856863,285504,282200,3304,285504,53567,True,48.28641413203611,0.2379525085896644
